PLAYER,YEAR,POS,BODY_FAT,HAND_LENGTH,HAND_WIDTH,HEIGHT,HEIGHT_SHOES,STAND_REACH,WEIGHT,WINGSPAN
Aaron Craft,2014,PG,6.10%,7.75,8.5,81,93,210,191.6,96
Aaron Gordon,2014,PF,5.05%,8.75,10.5,162,177,204,220.1,213
Aaron Harrison,2015,SG,6.00%,8.75,10,126,144,150,209.2,171
Aaron White,2015,PF-SF,8.00%,8.75,9.25,165,177,222,219.8,210
Adonis Thomas,2013,SF,7.50%,9.25,9.5,129,141,132,231.8,96
Adreian Payne,2014,PF,7.55%,9.25,9.5,180,189,120,238.5,132
AJ English,2016,PG,5.30%,8.75,8.5,96,108,126,182.2,192
Al-Farouq Aminu,2010,SF,8.20%,9.5,9.5,159,174,114,216,123
Alan Williams,2015,PF,12.00%,8.5,9.5,159,171,222,261.4,105
Alec Brown,2014,PF,7.70%,9.25,8.75,87,99,120,231.2,102
Alec Burks,2011,SG,5.10%,9,8.25,132,144,186,192.6,192
Alec Peters,2017,PF,8.80%,8.75,10,159,177,204,232,201
Alex Kirk,2014,PF,13.60%,9.25,10.5,183,201,126,252,126
Alex Len,2013,C,6.40%,9,10.75,0,0,0,0,126
Allen Crabbe,2013,SG,4.65%,8.25,8.5,135,147,186,197.4,207
Andre Drummond,2012,C,7.50%,9.5,9.5,189,213,126,278.6,159
Andre Roberson,2013,PF-SF,7.05%,8.75,9.5,147,156,198,205.8,204
Andrew Goudelock,2011,PG,9.90%,8.25,9.25,87,105,102,197.6,123
Andrew Harrison,2015,PG,5.90%,8.25,9.25,126,138,144,213.2,180
Andrew Jones,2017,SG,4.90%,8.5,9,108,123,138,185,150
Andrew Nicholson,2012,PF,7.60%,10,10.75,174,186,228,234,132
Andy Rautins,2010,SG,6.20%,8,9.75,123,132,144,191.6,156
Anthony Brown,2015,SF-SG,6.10%,8.5,9,141,159,198,211,204
Anthony Davis,2012,PF-C,7.90%,9,8.5,183,198,108,221.8,150
Archie Goodwin,2013,SG,4.55%,8.5,9,117,135,168,189,186
Armon Johnson,2010,PG-SG,5.60%,8.25,9.25,96,111,138,195.2,168
Arnett Moultrie,2012,PF,7.70%,9.25,9.25,186,201,222,232.8,111
Artsiom Parakhouski,2010,C,6.00%,9,10.5,195,213,126,268.2,96
Austin Rivers,2012,SG-PG,6.20%,8.5,10,114,132,102,202.8,159
Avery Bradley,2010,SG-PG,4.00%,8.25,9.5,96,111,126,180.4,159
Ben Bentil,2016,PF,9.70%,9.5,10,159,171,204,229.2,102
Ben McLemore,2013,SG,5.00%,8.75,9.5,114,129,150,189.2,165
Bernard James,2012,PF,5.00%,9,9.25,177,192,114,229.8,120
BJ Young,2013,SG-PG,4.70%,8.5,9.5,99,114,132,178.8,171
Bobby Portis,2015,PF,8.90%,9.5,9.25,186,198,114,246.2,108
Bradley Beal,2012,SG,6.00%,8.5,9,111,129,144,201.8,168
Branden Dawson,2015,PF,5.80%,9,8.75,138,153,204,230.2,204
Brandon Ashley,2015,PF,8.80%,9,9.5,159,174,204,228,129
Brandon Davies,2013,PF,8.60%,9,11,174,195,114,241.8,102
Brandon Knight,2011,PG,4.20%,8.25,9.5,90,111,126,176.8,153
Brandon Paul,2013,SG,5.25%,8.5,9.5,105,120,120,201,195
Brice Johnson,2016,PF,7.50%,9,8.25,180,198,222,208.6,90
Buddy Hield,2016,SG,6.10%,8.5,9,117,132,156,212.4,183
C.J. Fair,2014,SF,5.05%,9,9,150,168,192,218.1,186
C.J. Wilcox,2014,SG,6.50%,8.75,9,114,132,150,201,189
Caleb Swanigan,2016,PF,12.55%,9,10.25,162,174,228,246.6,126
Caleb Swanigan,2017,PF,0%,9.5,10.25,162,174,108,245.6,120
Cameron Bairstow,2014,PF,8.70%,8.75,9,177,189,228,252.4,93
Cameron Oliver,2017,PF,7.70%,9.5,10.25,156,171,222,238.6,99
Cameron Payne,2015,PG,6.30%,8.5,8.25,81,90,114,182.8,159
Caris LeVert,2016,SG,7.55%,8.5,9.25,141,156,156,191,192
Carrick Felix,2013,SF-SG,3.30%,8.5,9.5,129,147,186,202.6,183
Cat Barber,2016,PG,4.50%,8,8.5,90,105,222,173,138
Chandler Parsons,2011,SF,7.00%,8.25,10,177,189,198,221.2,186
Charles Garcia,2010,SF,7.00%,8.75,9,171,183,234,231.6,105
Charles Jenkins,2011,PG-SG,4.30%,8.5,9,90,111,102,216.4,162
Chasson Randle,2015,PG,4.50%,8.5,9.5,75,90,102,178.8,156
Cheick Diallo,2016,PF,5.60%,8.5,9.75,162,180,234,218.6,138
Chinanu Onuaku,2016,C,8.55%,9,8,180,192,114,245.2,117
Chris Boucher,2017,PF,5.40%,9.25,10.5,168,186,138,182.2,132
Chris McCullough,2015,PF,6.20%,8.75,8.75,171,180,120,199,123
Chris Singleton,2011,SF,7.40%,9.25,10,165,180,186,230.2,96
Chris Walker,2015,PF,5.10%,9,9,177,183,108,208,117
Christian Wood,2015,PF,14.70%,9.25,10.75,183,198,150,216,123
CJ Leslie,2013,PF-SF,7.95%,8.75,9,162,177,198,209.2,111
CJ McCollum,2013,PG-SG,8.60%,8,9.5,99,111,102,197,147
Cleanthony Early,2014,SF,4.45%,8.5,9,144,159,162,209.4,201
Cliff Alexander,2015,PF-C,5.80%,9.5,10.25,159,174,126,239.2,126
Cody Zeller,2013,C-PF,4.75%,8.5,10.5,201,87,216,230,201
Cole Aldrich,2010,C,8.50%,9,9.25,180,207,150,236,141
Colton Iverson,2013,C,9.60%,9.25,9.5,198,84,132,262.8,108
Corey Hawkins,2015,SG-PG,5.50%,8.75,9,81,93,138,191.8,168
Cory Jefferson,2014,PF,5.25%,8.75,9.75,165,180,204,218.4,90
Cory Joseph,2011,PG,9.70%,8.5,10.5,96,111,132,186.2,138
Craig Brackins,2010,PF-SF,7.90%,9.5,11.25,174,189,120,229,84
D.J. Wilson,2017,PF,6.40%,9.25,10.25,177,198,126,234.4,120
D'Angelo Russell,2015,PG-SG,8.30%,8.75,9.75,111,132,168,193.4,189
Dakari Johnson,2015,C,14.90%,9.25,10.5,204,213,156,264.6,108
Damian Jones,2016,C,6.55%,8.75,10.5,195,210,228,243.6,129
Damian Lillard,2012,PG,5.90%,8.75,9.75,93,105,222,188.8,165
Damion James,2010,SF,9.60%,9.25,8.5,147,165,228,226.6,93
Damyean Dotson,2017,SG-SF,5.30%,8.5,9.25,126,138,144,205.2,180
Daniel Hamilton,2016,SG-SF,5.95%,9,8.5,147,168,186,197,180
Daniel Orton,2010,C,13.80%,8.5,9.75,177,186,138,269.2,135
Dante Exum,2014,SG,6.40%,8.5,9.5,126,144,180,196.3,186
Darington Hobson,2010,SG-SF,6.20%,8.25,9,135,150,198,203.6,183
Darius Johnson-Odom,2012,SG,7.00%,8.75,8.75,90,108,96,212,156
Darius Miller,2012,SF-SG,7.50%,8.5,8.75,144,162,156,233.4,180
Darius Morris,2011,PG-SG,5.30%,8.75,10,111,135,168,190,162
David Lighty,2011,SG,6.50%,9,10,129,150,156,216.2,168
Davon Reed,2017,SG-SF,6.50%,9.25,9.5,126,138,168,206.2,84
De'Aaron Fox,2017,PG,4.50%,8.5,8.5,96,111,144,169.6,150
DeAndre Bembry,2016,SG-SF,7.00%,8,9.25,123,141,156,206.6,183
DeAndre Daniels,2014,SF,3.85%,9.25,10.5,159,174,222,196,108
DeAndre Kane,2014,PG,5.00%,8.25,9,105,126,138,199.9,168
