Player,Games Played,MIN,FGM,FGA,FG_PCT,3PM,3PA,3Per,FTM,FTA,FTPer,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Age,Season
Quincy Acy,59,14.8,2,3.6,0.556,0.3,0.8,0.388,0.8,1.2,0.735,1.1,2.1,3.2,0.5,0.5,0.4,0.5,1.7,25,2015
Jordan Adams,2,7.5,1,3,0.333,0,0.5,0,1.5,2.5,0.6,0,1,1,1.5,1.5,0,1,1,21,2015
Steven Adams,80,25.2,3.3,5.3,0.613,0,0,,1.4,2.5,0.582,2.7,3.9,6.7,0.8,0.5,1.1,1.1,2.8,22,2015
Arron Afflalo,71,33.4,5,11.3,0.443,1.3,3.4,0.382,1.5,1.8,0.84,0.3,3.4,3.7,2,0.4,0.1,1.2,2,30,2015
Alexis Ajinca,59,14.6,2.5,5.3,0.476,0,0,0,0.9,1.1,0.839,1.3,3.3,4.6,0.5,0.3,0.6,0.9,2.3,27,2015
Cole Aldrich,60,13.3,2.2,3.8,0.596,0,0,,1,1.4,0.714,1.4,3.4,4.8,0.8,0.8,1.1,1.1,2.3,27,2015
LaMarcus Aldridge,74,30.6,7.2,14.1,0.513,0,0.2,0,3.5,4.1,0.858,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2,30,2015
Cliff Alexander,8,4.5,0.6,1.3,0.5,0,0,,0,0,,0.3,0.5,0.8,0,0.1,0.3,0.1,0.1,20,2015
Lavoy Allen,79,20.2,2.4,4.7,0.516,0,0,,0.6,0.9,0.63,2.1,3.3,5.4,1,0.3,0.5,0.9,1.9,26,2015
Tony Allen,64,25.3,3.4,7.3,0.458,0.2,0.7,0.357,1.4,2.2,0.652,1.6,3,4.6,1.1,1.7,0.3,1.2,2.7,34,2015
Al-Farouq Aminu,82,28.5,3.6,8.8,0.416,1.5,4.3,0.361,1.4,1.9,0.737,1.2,4.9,6.1,1.7,0.9,0.6,1.5,2.1,25,2015
Lou Amundson,29,7,0.7,1.8,0.358,0,0,,0.5,0.9,0.519,0.8,0.9,1.7,0.4,0.2,0.2,0.5,1.5,33,2015
Chris Andersen,27,14.9,1.4,2.7,0.528,0.1,0.5,0.286,0.9,1.3,0.694,1.3,2.3,3.6,0.4,0.6,0.5,0.3,1.1,37,2015
Chris Andersen,7,5.1,0.6,1.4,0.4,0.3,0.7,0.4,0.4,0.6,0.75,0.4,0.9,1.3,0.4,0.1,0.4,0.3,0.6,37,2015
Chris Andersen,20,18.3,1.7,3.1,0.548,0.1,0.5,0.222,1.1,1.6,0.688,1.7,2.8,4.5,0.5,0.7,0.5,0.4,1.3,37,2015
Alan Anderson,13,14.8,1.6,4.5,0.356,0.9,2.8,0.324,0.8,1.2,0.733,0.1,2,2.1,1.1,0.3,0.1,0.2,1.9,33,2015
James Anderson,51,14.1,1.3,3.5,0.376,0.5,1.7,0.267,0.4,0.6,0.759,0.3,1.4,1.7,0.8,0.4,0.3,0.8,1.1,26,2015
Justin Anderson,55,11.8,1.3,3.2,0.406,0.4,1.5,0.265,0.8,1,0.8,0.3,2.1,2.4,0.5,0.3,0.5,0.4,0.8,22,2015
Kyle Anderson,78,16,1.8,3.8,0.468,0.2,0.5,0.324,0.8,1.1,0.747,0.3,2.8,3.1,1.6,0.8,0.4,0.8,1.2,22,2015
Ryan Anderson,66,30.4,6,14.1,0.427,2,5.4,0.366,3,3.5,0.873,2,4,6,1.1,0.6,0.4,1.4,1.7,27,2015
Giannis Antetokounmpo,80,35.3,6.4,12.7,0.506,0.4,1.4,0.257,3.7,5.1,0.724,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2,21,2015
Thanasis Antetokounmpo,2,3,1.5,2,0.75,0,0.5,0,0,0,,0,0.5,0.5,0,0,0,0,1,23,2015
Carmelo Anthony,72,35.1,7.9,18.2,0.434,1.5,4.3,0.339,4.6,5.6,0.829,1.4,6.4,7.7,4.2,0.9,0.5,2.4,2.5,31,2015
Joel Anthony,19,5.1,0.3,0.5,0.6,0,0,,0.3,0.4,0.75,0.4,0.7,1.1,0.1,0.1,0.6,0.1,0.8,33,2015
Keith Appling,5,5.4,0.4,1.6,0.25,0,0.6,0,0.4,0.4,1,0,0.2,0.2,0.2,0.2,0,0.6,1,23,2015
Trevor Ariza,81,35.3,4.4,10.6,0.416,2.3,6.2,0.371,1.6,2,0.783,0.8,3.7,4.5,2.3,2,0.3,1.4,2.2,30,2015
Darrell Arthur,70,21.7,3.2,7,0.452,0.6,1.7,0.385,0.6,0.8,0.755,1.2,3,4.2,1.4,0.8,0.7,0.9,2.6,27,2015
Omer Asik,68,17.3,1.5,2.9,0.533,0,0,,0.9,1.6,0.545,1.8,4.3,6.1,0.4,0.3,0.3,0.9,1.8,29,2015
D.J. Augustin,62,19,2.4,5.6,0.423,1.1,2.7,0.405,1.7,2.1,0.805,0.1,1.4,1.5,3.2,0.6,0.1,1.4,1.4,28,2015
D.J. Augustin,34,15.3,1.4,3.6,0.38,0.7,1.8,0.393,0.8,1,0.765,0.1,1.1,1.3,1.9,0.4,0.1,0.9,1.2,28,2015
D.J. Augustin,28,23.5,3.6,8.2,0.445,1.6,3.8,0.411,2.8,3.4,0.819,0.1,1.8,1.9,4.7,0.9,0.1,1.9,1.6,28,2015
Jeff Ayres,17,6.3,0.7,1.4,0.522,0,0.1,0,0.4,0.4,1,0.2,1.1,1.3,0.3,0,0.2,0.4,1.1,28,2015
Luke Babbitt,47,18,2.6,6.1,0.422,0.9,2.3,0.404,0.8,1.1,0.78,0.5,2.6,3.1,1.1,0.2,0.1,0.5,1.9,26,2015
Cameron Bairstow,18,5.7,0.7,2.2,0.325,0.1,0.3,0.2,0.4,0.4,0.875,0.2,1.3,1.6,0.3,0.1,0.2,0.2,1.1,25,2015
Leandro Barbosa,68,15.9,2.5,5.4,0.462,0.6,1.6,0.355,0.8,0.9,0.839,0.4,1.3,1.7,1.2,0.6,0.1,0.8,1.6,33,2015
J.J. Barea,74,22.5,4.3,9.6,0.446,1.4,3.5,0.385,1,1.3,0.771,0.4,1.7,2.1,4.1,0.4,0,1.5,1.5,31,2015
Andrea Bargnani,46,13.8,2.8,6.1,0.455,0.1,0.3,0.188,1,1.2,0.825,0.6,1.5,2.1,0.4,0.1,0.2,0.6,1.3,30,2015
Harrison Barnes,66,30.9,4.5,9.6,0.466,1.2,3.2,0.383,1.5,2,0.761,1.2,3.8,4.9,1.8,0.6,0.2,0.9,2.1,23,2015
Matt Barnes,76,28.8,3.5,9.1,0.381,1.6,4.9,0.322,1.5,1.8,0.804,1.1,4.4,5.5,2.1,1,0.8,1.6,3.1,35,2015
Will Barton,82,28.7,5.2,12,0.432,1.4,4,0.345,2.6,3.3,0.806,0.7,5.1,5.8,2.5,0.9,0.5,1.7,1.8,25,2015
Brandon Bass,66,20.3,2.6,4.8,0.549,0,0,0,1.9,2.2,0.845,1.6,2.7,4.3,1.1,0.5,0.8,0.6,1.9,30,2015
Nicolas Batum,70,35,5.3,12.5,0.426,2,5.7,0.348,2.3,2.7,0.849,0.8,5.3,6.1,5.8,0.9,0.6,2.9,1.6,27,2015
Jerryd Bayless,52,28.9,3.6,8.4,0.423,1.9,4.4,0.437,1.3,1.7,0.778,0.4,2.3,2.7,3.1,0.9,0.2,1.4,2.1,27,2015
Aron Baynes,81,15.2,2.4,4.7,0.505,0,0,0,1.6,2,0.764,1.7,3,4.7,0.6,0.3,0.6,0.8,1.9,29,2015
Kent Bazemore,75,27.8,4.3,9.7,0.441,1.5,4.1,0.357,1.6,2,0.815,0.4,4.7,5.1,2.3,1.3,0.5,1.8,2.3,26,2015
Bradley Beal,55,31.1,6.5,14.5,0.449,1.9,4.9,0.387,2.5,3.2,0.767,0.7,2.7,3.4,2.9,1,0.2,2,2.1,22,2015
Michael Beasley,20,18.2,5.4,10.3,0.522,0.2,0.5,0.333,1.9,2.5,0.776,1.5,3.5,4.9,0.8,0.6,0.5,1.2,2,27,2015
Marco Belinelli,68,24.6,3.6,9.3,0.386,1.3,4.4,0.306,1.7,2,0.833,0.1,1.6,1.7,1.9,0.5,0,1.2,1.3,29,2015
Anthony Bennett,19,4.4,0.4,1.4,0.296,0.2,0.7,0.214,0.5,0.5,0.9,0.3,0.9,1.2,0,0.3,0,0.2,0.4,22,2015
Patrick Beverley,71,28.7,3.6,8.4,0.434,1.7,4.4,0.4,0.8,1.2,0.682,1,2.5,3.5,3.4,1.3,0.4,1.3,3.3,27,2015
Bismack Biyombo,82,22,1.9,3.5,0.542,0,0,0,1.7,2.8,0.628,2.2,5.8,8,0.4,0.2,1.6,0.9,2.7,23,2015
Nemanja Bjelica,60,17.9,1.8,3.9,0.468,0.8,2.1,0.384,0.7,0.9,0.727,0.8,2.7,3.5,1.4,0.4,0.4,0.8,2.6,27,2015
Tarik Black,39,12.7,1.5,2.7,0.548,0,0,,0.5,1.2,0.422,1.1,2.9,4,0.4,0.4,0.5,0.6,2,24,2015
DeJuan Blair,29,7.5,1,2.3,0.412,0,0,0,0.2,0.4,0.385,0.7,1.3,2,0.4,0.3,0.1,0.5,1.8,26,2015
Steve Blake,58,17,1.6,4.1,0.388,0.9,2.6,0.344,0.3,0.3,0.8,0.2,1.4,1.5,3.4,0.4,0.1,1.4,1.2,35,2015
Eric Bledsoe,31,34.2,7.2,15.9,0.453,1.5,4.2,0.372,4.5,5.5,0.802,0.6,3.5,4,6.1,2,0.6,3.5,2.4,26,2015
Bojan Bogdanovic,79,26.8,4.1,9.5,0.433,1.6,4.3,0.382,1.4,1.7,0.833,0.5,2.8,3.2,1.3,0.4,0.1,1.5,1.5,26,2015
Andrew Bogut,70,20.7,2.5,4,0.627,0,0,1,0.3,0.7,0.48,1.7,5.3,7,2.3,0.5,1.6,1.2,3.2,31,2015
Matt Bonner,30,6.9,1,1.9,0.509,0.5,1.1,0.441,0.1,0.1,0.75,0.1,0.8,0.9,0.3,0.2,0,0.1,0.5,35,2015
Devin Booker,76,27.7,4.8,11.4,0.423,1.3,3.8,0.343,2.8,3.4,0.84,0.4,2.1,2.5,2.6,0.6,0.3,2.1,3,19,2015
Trevor Booker,79,20.7,2.4,4.9,0.49,0.2,0.5,0.293,0.9,1.3,0.67,2.1,3.6,5.7,1.1,0.7,0.5,1,2.1,28,2015
Chris Bosh,53,33.5,6.8,14.5,0.467,1.5,4.2,0.365,4,5.1,0.795,0.9,6.5,7.4,2.4,0.7,0.6,1.5,1.9,31,2015
Avery Bradley,76,33.4,6,13.4,0.447,1.9,5.4,0.361,1.3,1.6,0.78,0.6,2.3,2.9,2.1,1.5,0.3,1.4,2.2,25,2015
Elton Brand,17,13.2,1.8,4.2,0.431,0,0.1,0,0.5,0.5,0.889,0.5,3.2,3.7,1.1,0.5,0.5,0.6,1.9,36,2015
Corey Brewer,82,20.4,2.6,6.7,0.384,0.7,2.7,0.272,1.3,1.7,0.75,0.5,1.9,2.4,1.3,1,0.2,1,2,29,2015
Aaron Brooks,69,16.1,2.7,6.8,0.401,1,2.7,0.357,0.7,0.9,0.766,0.3,1.2,1.5,2.6,0.4,0.1,1.2,1.9,31,2015
Anthony Brown,29,20.7,1.3,4.3,0.31,0.7,2.4,0.286,0.6,0.7,0.85,0.3,2.1,2.4,0.7,0.5,0.2,0.5,1.2,23,2015
Lorenzo Brown,8,7.6,1,3.1,0.32,0.1,1,0.125,0.4,0.5,0.75,0,0.9,0.9,1.4,0.4,0.1,1.1,0.5,25,2015
Markel Brown,62,15.8,2,5.2,0.394,0.6,2,0.314,1.1,1.5,0.755,0.4,1.6,2,1.5,0.6,0.2,0.9,1.5,24,2015
Kobe Bryant,66,28.2,6,16.9,0.358,2,7.1,0.285,3.5,4.3,0.826,0.6,3.1,3.7,2.8,0.9,0.2,2,1.7,37,2015
Chase Budinger,66,14.1,1.6,3.6,0.435,0.4,1.3,0.279,0.6,0.8,0.696,0.7,1.6,2.3,1,0.5,0.2,0.7,0.9,27,2015
Chase Budinger,49,14.9,1.7,4,0.418,0.4,1.4,0.29,0.7,1,0.708,0.6,1.8,2.5,1,0.6,0.2,0.6,0.9,27,2015
Chase Budinger,17,11.8,1.4,2.6,0.511,0.2,1,0.235,0.3,0.5,0.625,0.7,1,1.7,0.9,0.2,0.1,0.8,0.9,27,2015
Reggie Bullock,37,11.6,1.2,2.6,0.439,0.6,1.4,0.415,0.4,0.4,0.933,0.4,1.5,1.8,0.7,0.3,0.1,0.2,0.8,24,2015
Trey Burke,64,21.3,4.1,9.9,0.413,1.4,4,0.344,1,1.3,0.817,0.3,1.5,1.8,2.3,0.5,0.1,1.3,1.3,23,2015
Alec Burks,31,25.7,4.4,10.8,0.41,1,2.5,0.405,3.4,4.5,0.752,0.5,3,3.5,2,0.6,0.1,1.6,2.3,24,2015
Caron Butler,17,10.4,1.5,3.5,0.424,0.2,1.1,0.167,0.6,0.7,0.833,0.3,1,1.3,0.6,0.5,0.1,0.2,1.1,35,2015
Jimmy Butler,67,36.9,7,15.4,0.454,1,3.1,0.312,5.9,7.1,0.832,1.2,4.2,5.3,4.8,1.6,0.6,2,1.9,26,2015
Rasual Butler,46,9.4,1.1,2.3,0.471,0.3,1.1,0.306,0.2,0.3,0.688,0.1,1.2,1.2,0.5,0.3,0.5,0.2,0.2,36,2015
